Абразивный инструмент ,Корщетки ,Круг торцовый Power-Wheel (Clean & Strip),22.50,1 шт.,"Специальный из нетканого материала с SiC зерном для очистки поверхностей и удаления следов ""побежалости"". Не засоряется за счет открытого строения круги. Безопасен в сравнении с корд щетками.",http://st5.stpulscen.ru/images/product/057/446/263_medium.jpg, 
Абразивный инструмент ,Круги абразивные ,Лепестковые тарельчатые круги Klingspor SMT 800 Medium P120 (каштановый),9.12, ,"Круг лепестковый из нетканного абразивного материала скотчбрайт  SMT 800 Klingspor medium.

Лепестковый тарельчатый круг SMT 800. Высококачественный лепестковый тарельчатый круг из нетканого материала скотчбрайт для отделочной обработки. В зависимости от степени твёрдости годится для очистки, удаления небольших заусенцев а также обработки швов TIG в процессе обработки благородной стали, нержавейки. 

Области применения: благородная сталь, нержавейка.

Форма выпуклая 12° .

Класс качества Special.

Корпус-тарелка стекловолокно.

Размеры в мм (диаметр х отверстие) 125 x 22,23.

Зернистость нетканою материала coarse коричневый, medium каштановый , very fine синий.

Цвет Максимальная рабочая скорость/ Допустимое вращение   80 м/с  / 12.200 1/мин.

 Лепестковые тарельчатые круги.",http://st19.stpulscen.ru/images/product/086/169/540_medium.jpg,278498
Абразивный инструмент ,Круги абразивные ,Лепестковые тарельчатые круги Klingspor SMT 800 Very Fine P320 (синий),9.12, ,"Круг лепестковый из нетканного абразивного материала скотчбрайт  SMT 800 Klingspor medium.

Лепестковый тарельчатый круг SMT 800. Высококачественный лепестковый тарельчатый круг из нетканого материала скотчбрайт для отделочной обработки. В зависимости от степени твёрдости годится для очистки, удаления небольших заусенцев а также обработки швов TIG в процессе обработки благородной стали, нержавейки. 

Области применения: благородная сталь, нержавейка.

Форма выпуклая 12° .

Класс качества Special.

Корпус-тарелка стекловолокно.

Размеры в мм (диаметр х отверстие) 125 x 22,23.

Зернистость нетканою материала coarse коричневый, medium каштановый , very fine синий.

Цвет Максимальная рабочая скорость/ Допустимое вращение   80 м/с  / 12.200 1/мин.

 Лепестковые тарельчатые круги.",http://st19.stpulscen.ru/images/product/086/169/645_medium.jpg,278498
Абразивный инструмент ,Ленты шлифовальные ,Лента шлифовальная 13х457 P40 CS411X Klingspor,0.79,10 шт.,"Данная шлифовальная лента предназначена для установки на ленточные напильники. Шлифовальная лента характеризуется высокой агрессивностью и производительностью при черновом шлифовании стали и нержавеющей стали. Универсальна во всех областях обработки.

Абразивное зерно - циркониевый электрокорунд

Основа - ткань Х

Также изготавливаем шлифовальные ленты любых видов и размеров на собственном производстве.

 ",http://st9.stpulscen.ru/images/product/067/410/295_medium.jpg, 
Абразивный инструмент ,Ленты шлифовальные ,Лента шлифовальная 13х457 P60 984F 3M Cubitron 2,3,10 шт.,"Шлифовальная лента премиум-класса с прецизионным керамическим зерном Cubitron™ II (самозатачивающимся).

Размер для ленточных напильников производства Makita, Boschm, 3M и других.

Также воможно изготовление других размеров и зернистостей.",http://st18.stpulscen.ru/images/product/085/390/703_medium.jpg, 
Абразивный инструмент ,Ленты шлифовальные ,Лента шлифовальная 3M Cubitron 777F, ,10 шт.,"Ленты шлифовальные Cubitron™ 777F 3M™ с керамическим зерном для агрессивной обработки изделий из металлов на стационарных ленточных шлифовальных станках, автоматизированных линиях и ленточном ручном инструменте 3М предлагает шлифовальные ленты с керамическим зерном. Благодаря уникальным режущим свойствам керамического зерна, такие шлифовальные ленты отличаются высокой производительностью и обеспечивают высокое качество шлифовки даже при обработке высокопрочных сталей и сплавов.

Шлифленты 3M™ 777F - это универсальный абразивный инструмент для агрессивной обработки. Они могут использоваться на ручном инструменте, стационарных ленточных и бесцентровых шлифовальных станках.

Ленты шлифовальные 777F подходят для обработки широкого спектра материалов: нержавеющей стали, черных металлов, латуни, алюминия и многих других. При этом обеспечивается высокое качество обработки. Эти ленты используются для удаления сварных швов и разнообразных дефектов, шлифовки плоскости и трубы (бесцентровой шлифовки).

Шлифленты 777F могут использоваться как для сухой шлифовки, так и для шлифовки с охлаждением.

Шлифленты Trizact 237AA изготавливаются любых размеров и зернистей. Диапазон зернистостей от P36 до P180.",http://st19.stpulscen.ru/images/product/086/168/659_medium.jpg,777F
Абразивный инструмент ,Ленты шлифовальные ,Лента шлифовальная 3m Trizact 237AA, ,10 шт.,"Структурированные шлифовальные ленты Trizact созданы по технологии микрорепликации, с помощью которой на основу шлифленты наносятся прецезионные пирамидальные структуры, содержащие множество слоев тщательно отобранных по размеру абразивных частиц. Основные достоинства: высокое качество поверхности, скорость обработки, стойкость лент.",http://st5.stpulscen.ru/images/product/057/447/110_medium.jpg, 
Абразивный инструмент ,Ленты шлифовальные ,Лента шлифовальная 50х632 CS411X Klingspor,3.20,5 шт.,"Данная шлифовальная лента предназначена для установки на шлифовальный станок. Шлифовальная лента характеризуется высокой агрессивностью и производительностью при черновом шлифовании стали и нержавеющей стали. Универсальна во всех областях обработки.

Абразивное зерно - циркониевый электрокорунд

Основа - ткань Х

Все виды зернистости (P36, P40, P60, P80, P120)

Также изготавливаем шлифовальные ленты любых видов и размеров на собственном производстве.

 ",http://st9.stpulscen.ru/images/product/067/410/489_medium.jpg, 
Абразивный инструмент ,Ленты шлифовальные ,Лента шлифовальная 50х632 P40 CS411X Klingspor,3.50, ,"Высокопроизводительая бесконечная лента для черновой обработки и снятия заусенцев со стали и благородной стали.

Основа - тяжелая ткань

Минерал - циркониевый корунд ",http://st21.stpulscen.ru/images/product/091/807/760_medium.jpg, 
Абразивный инструмент ,Ленты шлифовальные ,Лента шлифовальная 50х632 P60 CS411X Klingspor,3.20,5 шт.,"Данная шлифовальная лента предназначена для установки на шлифовальный станок. Шлифовальная лента характеризуется высокой агрессивностью и производительностью при черновом шлифовании стали и нержавеющей стали. Универсальна во всех областях обработки.

Абразивное зерно - циркониевый электрокорунд

Основа - ткань Х

Все виды зернистости (P36, P40, P60, P80, P120)

Также изготавливаем шлифовальные ленты любых видов и размеров на собственном производстве.

 ",http://st21.stpulscen.ru/images/product/091/808/139_medium.jpg, 
Абразивный инструмент ,Ленты шлифовальные ,Лента шлифовальная бесконечная 50х632 P80 CS411X Klingspor,3.20,5 шт.,"Данная шлифовальная лента предназначена для установки на шлифовальный станок. Шлифовальная лента характеризуется высокой агрессивностью и производительностью при черновом шлифовании стали и нержавеющей стали. Универсальна во всех областях обработки.

Абразивное зерно - циркониевый электрокорунд

Основа - ткань Х

Все виды зернистости (P36, P40, P60, P80, P120)

Также изготавливаем шлифовальные ленты любых видов и размеров на собственном производстве.

 ",http://st21.stpulscen.ru/images/product/091/808/448_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,"Алмазная паста 0,5/0 ВОМ (ГОСТ 25593-83)",117.99, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 500 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/492_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,"Алмазная паста 0,5/0 НОМ (ГОСТ 25593-83)",117.99, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 500 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/481_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,"Алмазная паста 0,5/0 ПОМ (ГОСТ 25593-83)",117.99, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 500 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/483_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 1/0 ВОМ (ГОСТ 25593-83),589.65, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 500 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/475_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 1/0 НОМ (ГОСТ 25593-83),117.99, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 100 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/459_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 1/0 ПОМ (ГОСТ 25593-83),295.66, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 250 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/468_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 10/7 ВОМ (ГОСТ 25593-83),818.96, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 1000 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/373_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 10/7 НОМ (ГОСТ 25593-83),163.79, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 200 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/360_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 10/7 ПОМ (ГОСТ 25593-83),409.48, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 500 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/356_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 100/80 НОМ (ГОСТ 25593-83), , ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 2000 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/133_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 100/80 ПОМ (ГОСТ 25593-83), , ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
ПОМ - 3000 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/223_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 125/100 НОМ (ГОСТ 25593-83), , ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 2000 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/197_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 125/100 ПОМ (ГОСТ 25593-83), , ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
ПОМ - 3000 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/208_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 14/10 ВОМ (ГОСТ 25593-83),1 228.43, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 1500 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/347_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 14/10 НОМ (ГОСТ 25593-83),245.69, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 300 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/336_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 14/10 ПОМ (ГОСТ 25593-83),614.22, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 750 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/338_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 2/1 ВОМ (ГОСТ 25593-83),589.65, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 500 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/456_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 2/1 НОМ (ГОСТ 25593-83),117.99, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 100 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/441_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 2/1 ПОМ (ГОСТ 25593-83),295.66, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 250 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/447_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 20/14 ВОМ (ГОСТ 25593-83),1 228.43, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 1500 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/327_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 20/14 НОМ (ГОСТ 25593-83),245.69, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 300 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/312_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 20/14 ПОМ (ГОСТ 25593-83),614.22, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 750 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/324_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 28/20 ВОМ (ГОСТ 25593-83),1 228.43, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 1500 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/313_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 28/20 НОМ (ГОСТ 25593-83),245.69, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 300 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/292_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 28/20 ПОМ (ГОСТ 25593-83),614.22, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 750 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/297_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 3/2 ВОМ (ГОСТ 25593-83),589.65, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 500 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/433_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 3/2 НОМ (ГОСТ 25593-83),117.99, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 100 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/423_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 3/2 ПОМ (ГОСТ 25593-83),295.66, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 250 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/430_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 40/28 ВОМ (ГОСТ 25593-83), , ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 2000 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/285_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 40/28 НОМ (ГОСТ 25593-83),327.58, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 400 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/267_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 40/28 ПОМ (ГОСТ 25593-83),818.96, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 1000 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/280_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 5/3 ВОМ (ГОСТ 25593-83),818.96, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 1000 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/417_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 5/3 НОМ (ГОСТ 25593-83),163.79, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 200 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/405_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 5/3 ПОМ (ГОСТ 25593-83),409.48, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 500 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/409_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 60/40 ВОМ (ГОСТ 25593-83), , ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 2000 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/264_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 60/40 НОМ (ГОСТ 25593-83),327.58, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 400 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/253_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 60/40 ПОМ (ГОСТ 25593-83),818.96, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 1000 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/256_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 63/50 НОМ (ГОСТ 25593-83), , ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 1000 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/235_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 63/50 ПОМ (ГОСТ 25593-83), , ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 2000 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/239_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 7/5 ВОМ (ГОСТ 25593-83),818.96, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 1000 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/389_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 7/5 НОМ (ГОСТ 25593-83),163.79, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 200 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/372_medium.jpg, 
Абразивный инструмент ,Материалы шлифовальные,Алмазная паста 7/5 ПОМ (ГОСТ 25593-83),409.48, ,"Предназначена для окончательного полирования и доводки твердых сплавов, неметаллических материалов, цветных и черных металлов, драгоценных и полудрагоценных камней, оптики и др. 
НОМ - 500 карат в 1 кг пасты",http://st21.stpulscen.ru/images/product/091/408/384_medium.jpg, 
